country,indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,All types,0,0,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.03
Afghanistan,Beer,0,0,0,0,0.02,0.01,0.01,0.01,0.01,0.01
Afghanistan,Wine,0,0,0,0,0,0,0,0,0,0
Afghanistan,Spirits,0,0,0,0.01,0,0.01,0.02,0.02,0.02,0.02
Afghanistan,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Albania,All types,3.98,4.71,4.01,4.43,4.67,5.3,5.46,5.76,5.82,6.04
Albania,Beer,1.33,1.49,1.29,1.45,1.37,1.65,1.79,1.94,2.13,2.2
Albania,Wine,0.57,1.09,0.54,0.77,1.07,1.33,1.28,1.35,1.2,1.28
Albania,Spirits,2.08,2.13,2.18,2.21,2.14,2.23,2.28,2.36,2.38,2.44
Albania,Other alcoholic beverages,0,0,0,0,0.08,0.09,0.11,0.11,0.11,0.12
Algeria,All types,0.32,0.27,0.43,0.39,0.52,0.55,0.43,0.39,0.43,0.48
Algeria,Beer,0.12,0.1,0.17,0.19,0.24,0.3,0.18,0.17,0.21,0.2
Algeria,Wine,0.2,0.16,0.25,0.17,0.26,0.24,0.23,0.2,0.2,0.25
Algeria,Spirits,0,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.04
Algeria,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Andorra,All types,11.96,12.03,11.53,10.97,10.8,11.96,12.03,11.53,10.97,10.8
Andorra,Beer,3.64,3.78,3.7,3.56,3.59,3.64,3.78,3.7,3.56,3.59
Andorra,Wine,5.39,5.27,4.89,4.57,4.49,5.39,5.27,4.89,4.57,4.49
Andorra,Spirits,2.94,2.99,2.94,2.84,2.72,2.94,2.99,2.94,2.84,2.72
Andorra,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Angola,All types,1.77,2.45,2.62,2.88,3.39,4.68,5.44,6.22,6.9,6.89
Angola,Beer,0.99,1.31,1.45,1.46,1.6,2.66,3.04,3.24,3.64,4.42
Angola,Wine,0.78,1.15,1.17,1.42,1.58,1.94,2.32,2.4,2.62,1.74
Angola,Spirits,0,0,0,0,0.2,0.08,0.08,0.57,0.61,0.71
Angola,Other alcoholic beverages,0,0,0,0,0,0,0,0.02,0.03,0.03
Antigua and Barbuda,All types,7.46,7.43,7.14,7.11,7.27,8.81,8.34,8.19,8.24,7.9
Antigua and Barbuda,Beer,1.91,1.87,1.76,1.86,1.97,2.42,2.64,2.95,2.99,2.93
Antigua and Barbuda,Wine,1.41,1.41,1.38,1.25,1.43,2.38,1.79,1.34,1.32,1.42
Antigua and Barbuda,Spirits,4.12,4.13,3.99,3.98,3.47,3.58,3.61,3.6,3.61,3.28
Antigua and Barbuda,Other alcoholic beverages,0.02,0.02,0.02,0.02,0.39,0.43,0.3,0.3,0.32,0.27
Argentina,All types,7.68,7.76,7.81,7.62,7.63,7.53,7.75,8.16,8.41,8.33
Argentina,Beer,1.79,1.9,2.08,2.03,2.04,2.42,2.57,2.75,3.16,3.23
Argentina,Wine,5.3,5.32,5.28,5.08,5.03,4.57,4.62,4.65,4.45,4.31
Argentina,Spirits,0.52,0.49,0.41,0.46,0.52,0.32,0.3,0.44,0.44,0.4
Argentina,Other alcoholic beverages,0.06,0.05,0.04,0.04,0.04,0.22,0.26,0.32,0.36,0.39
Armenia,All types,2.98,2.96,2.93,3.03,3.81,4.25,4.01,4,3.96,3.97
Armenia,Beer,0.18,0.24,0.17,0.17,0.22,0.27,0.36,0.38,0.41,0.32
Armenia,Wine,0.28,0.38,0.28,0.16,0.43,0.46,0.28,0.23,0.23,0.27
Armenia,Spirits,2.52,2.34,2.48,2.7,3.16,3.51,3.38,3.39,3.32,3.37
Armenia,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0.01
Australia,All types,10.17,9.53,9.84,9.97,9.84,10.3,10.31,10.56,10.76,10.62
Australia,Beer,5.07,4.08,4.97,4.96,4.57,4.62,4.63,4.63,4.69,4.68
Australia,Wine,2.95,2.91,3.01,3,3.13,3.53,3.53,3.7,3.71,3.78
Australia,Spirits,2.07,1.81,1.86,2.01,1.2,1.21,1.16,1.15,1.19,1.32
Australia,Other alcoholic beverages,0.08,0.01,0,0,0.94,0.94,0.99,1.08,1.17,0.84
Austria,All types,13.2,12.4,12.5,12.2,12.1,12.4,12.4,12.5,12,11.3
Austria,Beer,6.8,6.6,6.4,6.4,6.7,6.07,6.7,6.4,6.4,6.2
Austria,Wine,4.3,4.3,4.4,4.1,3.8,4.1,4.2,4.4,3.9,3.4
Austria,Spirits,2.1,1.5,1.7,1.7,1.6,1.6,1.5,1.7,1.7,1.7
Austria,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Azerbaijan,All types,6.77,5.7,4.68,4.26,4.39,0.74,0.87,0.98,1.15,1.9
Azerbaijan,Beer,0.64,1.02,1.07,1.11,1.46,0.3,0.3,0.34,0.46,0.27
Azerbaijan,Wine,0.1,0.11,0.08,0.06,0.06,0.05,0.1,0.13,0.16,0.17
Azerbaijan,Spirits,6.02,4.57,3.53,3.09,2.88,0.4,0.47,0.51,0.53,1.45
Azerbaijan,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0.01
Bahamas,All types,12.19,11.62,10.83,10.68,9.98,10.64,10.29,10.02,9.53,8.63
Bahamas,Beer,4.04,3.69,3.6,3.56,3.73,3.82,3.79,3.84,3.63,3.15
Bahamas,Wine,1.83,1.83,1.46,1.56,1.28,2.13,1.9,1.67,1.57,1.46
Bahamas,Spirits,6.29,6.07,5.74,5.53,4.54,4.29,4.2,4.12,3.97,3.69
Bahamas,Other alcoholic beverages,0.03,0.03,0.03,0.03,0.44,0.4,0.4,0.39,0.36,0.33
Bahrain,All types,2.15,1.93,1.96,2.14,2.15,2.15,2.2,2.16,2.16,2.1
Bahrain,Beer,0.54,0.54,0.55,0.54,0.55,0.55,0.52,0.49,0.47,0.46
Bahrain,Wine,0.3,0.15,0.18,0.14,0.21,0.19,0.23,0.26,0.13,0.14
Bahrain,Spirits,1.31,1.24,1.23,1.45,1.38,1.33,1.35,1.24,1.39,1.34
Bahrain,Other alcoholic beverages,0,0,0,0,0,0.09,0.1,0.16,0.18,0.16
Bangladesh,All types,0.01,0,0,0,0,0,0,0,0.01,0.01
Bangladesh,Beer,0,0,0,0,0,0,0,0,0,0
Bangladesh,Wine,0,0,0,0,0,0,0,0,0,0
Bangladesh,Spirits,0,0,0,0,0,0,0,0,0,0
Bangladesh,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Barbados,All types,7.24,7.32,7.53,7.61,7.67,8.17,8.6,8.43,8.83,8.55
Barbados,Beer,2.73,2.87,2.89,2.89,2.98,3.22,3.29,3.15,3.45,3.18
Barbados,Wine,0.49,0.49,0.55,0.72,0.68,0.92,1.12,1.06,0.89,0.93
Barbados,Spirits,3.99,3.92,4.06,3.97,3.8,3.82,3.95,3.97,4.24,4.28
Barbados,Other alcoholic beverages,0.03,0.03,0.03,0.03,0.22,0.21,0.24,0.25,0.25,0.16
Belarus,All types,12.92,10.74,12.23,11.17,12.08,11.05,12.53,13.86,14.54,13.97
Belarus,Beer,1.19,1.15,2.73,3.2,1.33,1.85,2.32,2.72,2.92,2.77
Belarus,Wine,0.17,0.37,0.41,0.49,0.22,0.14,0.16,0.16,0.18,0.18
Belarus,Spirits,5.03,4.75,4.75,3.8,3.64,4.15,5.24,5.99,6.31,6.11
Belarus,Other alcoholic beverages,6.54,4.47,3.89,3.68,6.89,4.9,4.82,4.99,5.14,4.91
Belgium,All types,11.25,11.05,11.33,11.31,12.06,12.21,10.94,13.43,10.51,10.1
Belgium,Beer,6.15,6.08,6.09,6.14,5.95,6.03,5.58,5.2,5.04,4.94
Belgium,Wine,4.05,3.99,4.26,4.06,4.26,4.2,4.35,4.26,3.83,3.66
Belgium,Spirits,1,0.93,0.95,1.07,1.84,1.97,0.99,3.96,1.59,1.45
Belgium,Other alcoholic beverages,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.06,0.05
Belize,All types,4.67,4.77,4.87,5.53,6.04,6.06,6.22,6.93,6.86,6.45
Belize,Beer,2.76,2.87,3.01,3.6,3.88,3.86,4.01,4.74,4.7,4.36
Belize,Wine,0.14,0.14,0.11,0.15,0.12,0.14,0.12,0.16,0.14,0.17
Belize,Spirits,1.77,1.75,1.74,1.77,2.03,2.01,1.98,1.91,1.87,1.73
Belize,Other alcoholic beverages,0,0,0,0,0.01,0.05,0.11,0.13,0.15,0.18
Benin,All types,1.43,1.38,1.33,1.44,1.23,1.22,1.26,1.2,1.34,1.21
Benin,Beer,0.54,0.66,0.73,0.7,0.53,0.51,0.53,0.55,0.62,0.62
Benin,Wine,0.12,0.12,0.1,0.12,0.12,0.14,0.17,0.17,0.16,0.2
Benin,Spirits,0.31,0.13,0.02,0.19,0.15,0.16,0.19,0.1,0.25,0.15
Benin,Other alcoholic beverages,0.46,0.48,0.47,0.44,0.42,0.41,0.38,0.38,0.31,0.25
Bhutan,All types,1.66,1.42,0.29,0.52,0.96,1.1,0.33,0.2,0.3,0.22
Bhutan,Beer,1.66,1.42,0.29,0.49,0.96,0.73,0.29,0.16,0.21,0.17
Bhutan,Wine,0,0,0,0,0,0.01,0.02,0.02,0.06,0.02
Bhutan,Spirits,0,0,0,0.03,0.34,0.36,0.02,0.02,0.02,0.03
Bhutan,Other alcoholic beverages,0,0,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of),All types,2.34,2.23,2.28,2.36,2.65,2.85,3.22,3.47,3.75,3.83
Bolivia (Plurinational State of),Beer,1.67,1.54,1.58,1.69,1.99,2.13,2.34,2.55,2.79,2.94
