country,time,Suicides/100k (15-24 years),Suicides/100k  (25-34 years),Suicides/100k (35-54 years),Suicides/100k (55-74 years),Suicides/100k (75+ years),Suicides/100k (all age),gdp_per_capita ($)
Albania,2000,2.08,7.33,1.07,5.64,4.02,20.14,1299
Albania,2001,3.91,10.65,8.98,5.59,3.22,32.35,1451
Albania,2002,5.7,11.15,9.16,6.56,12.9,45.47,1573
Albania,2003,5.49,4.38,7.25,7.94,3.06,28.12,2021
Albania,2004,6.63,7.85,9.95,4.83,11.26,40.52,2544
Albania,2005,0,0,0,0,0,0,2931
Albania,2006,0,0,0,0,0,0,3235
Albania,2007,4.51,5.22,7.66,6.25,18.88,42.52,3863
Albania,2008,3.84,12.15,9.81,9.18,4.49,39.47,4672
Albania,2009,0,0,0,0,0,0,4387
Antigua and Barbuda,2000,0,0,9.97,30,0,39.97,11021
Antigua and Barbuda,2001,0,0,19.45,0,0,19.45,10468
Antigua and Barbuda,2002,0,0,0,0,0,0,10499
Antigua and Barbuda,2003,0,0,0,27.82,0,27.82,10878
Antigua and Barbuda,2004,0,0,8.77,27.29,0,36.06,11535
Antigua and Barbuda,2005,0,0,0,0,0,0,12649
Antigua and Barbuda,2006,0,0,0,0,0,0,14114
Antigua and Barbuda,2007,0,0,7.98,0,0,7.98,15775
Antigua and Barbuda,2008,0,0,0,0,0,0,16238
Antigua and Barbuda,2009,0,0,0,0,0,0,14335
Argentina,2000,14,12.72,14.11,25.8,44.18,110.81,8462
Argentina,2001,15.58,14.02,15.08,27.94,45.66,118.28,7900
Argentina,2002,16.27,14.94,14.77,25.76,41.31,113.05,2840
Argentina,2003,19.15,16.02,14.75,23.83,46.75,120.5,3668
Argentina,2004,19.59,15.19,13.98,20.33,38.25,107.34,4683
Argentina,2005,19.08,15.01,12.43,19.52,37.43,103.47,5590
Argentina,2006,19.54,15.74,13.34,19.17,39.68,107.47,6475
Argentina,2007,17.07,15.68,12.87,16.96,35.43,98.01,7918
Argentina,2008,18.33,16.74,12.94,17.6,32.19,97.8,9843
Argentina,2009,17.72,15.7,11.87,16.17,27.09,88.55,8961
Armenia,2000,1.68,1.76,3.74,5.98,10.64,23.8,530
Armenia,2001,1.11,0.7,3.85,7.47,7.46,20.59,587
Armenia,2002,1.7,5.81,5.26,9.67,10.32,32.76,788
Armenia,2003,0.33,4.75,4.96,7.21,9.23,26.48,928
Armenia,2006,3.62,3.19,4.63,11.38,12.47,35.29,2310
Armenia,2007,2.57,2.09,5.25,7.02,14.2,31.13,3366
Armenia,2008,0.94,1.6,2.56,9.05,14.93,29.08,3829
Armenia,2009,1.92,1.01,4.83,5.8,15.76,29.32,3215
Aruba,2000,0,43.94,14.06,0,101.11,159.11,22333
Aruba,2001,0,0,27.28,0,0,27.28,22317
Aruba,2002,16.84,30.96,13.26,65.4,0,126.46,21987
Aruba,2003,0,0,12.93,0,0,12.93,22345
Aruba,2004,0,16.22,12.67,44.76,88.03,161.68,24133
Aruba,2005,0,0,18.74,28.62,0,47.36,24870
Aruba,2006,0,66.73,18.65,0,0,85.38,25622
Aruba,2007,15.53,33.7,18.7,13.09,0,81.02,27672
Aruba,2008,0,17.1,6.28,12.56,0,35.94,29447
Aruba,2009,0,17.46,12.71,12.06,0,42.23,26361
Australia,2000,20.33,32.57,26.9,18.46,27.64,125.9,23219
Australia,2001,20.72,34.25,26.82,18.9,26.28,126.97,20860
Australia,2002,17.92,31.54,26.38,16.35,22.1,114.29,21474
Australia,2003,17.42,27.41,23.02,16.89,21.62,106.36,25059
Australia,2004,14.43,26.78,22.83,17.02,25.77,106.83,32454
Australia,2006,15.9,19.2,23.7,17.43,22.49,98.72,39014
Australia,2007,15.44,23.19,23.07,16.25,23,100.95,43171
Australia,2008,14.61,23.41,25.37,18.45,21.88,103.72,52315
Australia,2009,13.08,21.44,24.74,17.52,23.82,100.6,45128
Austria,2000,21.82,23.92,32.93,46.82,99.51,225,25922
Austria,2001,20.68,23.51,31.6,42.02,83.89,201.7,25848
Austria,2002,20.04,26.93,34.74,43.08,99.84,224.63,27772
Austria,2003,18.13,20.72,30.12,40.54,91.31,200.82,33889
Austria,2004,21.59,21.59,27.79,39.9,93.66,204.53,38711
Austria,2005,16.1,18.58,28.74,42.32,79.03,184.77,40367
Austria,2006,14.88,18.88,29.81,33.61,78.38,175.56,42698
Austria,2007,17.96,18.24,25.63,34.1,75.46,171.39,49218
Austria,2008,11.37,15.85,26.24,34.01,86.55,174.02,54294
Austria,2009,13.85,18.24,25.59,33.87,79.3,170.85,50356
Azerbaijan,2000,1.49,1.81,1.5,2.49,2.64,9.93,711
Azerbaijan,2001,7.31,6.63,8.1,9.52,7.2,38.76,759
Azerbaijan,2002,1.13,1.16,3.16,5.31,4.39,15.15,820
